road,id,model_type,condition,name,lat,lon,length
N1,N1_LRP202b,bridge,B,UTTOR SITAKONDO BAZAR BOX CULVERT,22.62583234,91.65418576,6.1
N1,N1_link124,link,,,22.62443925,91.6548265,343
N1,N1_LRP203a,bridge,A,SITAKUNDA SLAB,22.62304617,91.65546725,3
N1,N1_link125,link,,,22.62040126,91.6567631,602
N1,N1_LRP203b,bridge,A,MOHADAB PUR BOX CULVERT,22.61775635,91.65805894,3
N1,N1_link126,link,,,22.61637316,91.659163,479
N1,N1_LRP204a,bridge,A,PURBOMOHADAB PUR SLAB CULVERT(L),22.61498997,91.66026705,4.6
N1,N1_link127,link,,,22.61337282,91.66141786,436
N1,N1_LRP205a,bridge,A,MADICAL MORE CULVERT,22.61175567,91.66256867,3
N1,N1_link128,link,,,22.60779756,91.66497162,1022
N1,N1_LRP206a,bridge,A,DOKHIN MOHADEB PUR BOX CULVERT,22.60383944,91.66737456,2.95
N1,N1_link129,link,,,22.60050301,91.66959688,885
N1,N1_LRP206c,bridge,B,SKM BOX CULVERT(1),22.59716658,91.67181921,9.3
N1,N1_link130,link,,,22.59552738,91.67285407,423
N1,N1_LRP207a,bridge,A,HATILOTA BOX CULVERT,22.59388818,91.67388894,4.5
